Country Name,Series Name,Series Code,2017 [YR2017],2018 [YR2018]
Albania,Military expenditure (current USD),MS.MIL.XPND.CD,144382688.719935,175886688.575874
Albania,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,..,..
Albania,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.683439279077873,..
Albania,"Armed forces personnel, total",MS.MIL.TOTL.P1,9000,..
Albania,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.10869638590383,1.16806316024134
Albania,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Albania,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,23.8675875554251,23.2812516936405
Albania,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..
Albania,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,36.6126980795235,39.4559018689712
Albania,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,91.7005386352539,93.8843688964844
Albania,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,92.2494277954102,89.85302734375
Albania,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,85.974739074707,85.3626022338867
Albania,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,93.4418182373047,99.1517715454102
Albania,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..
Albania,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..
Albania,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..
Albania,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..
Albania,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..
Albania,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..
Albania,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..
Albania,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..
Albania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.75,12.3400001525879
Albania,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.6157999038696,12.3037996292114
Albania,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..
Albania,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..
Albania,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..
Albania,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.333,78.458
Albania,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.601,76.816
Albania,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.148,80.167
Angola,Military expenditure (current USD),MS.MIL.XPND.CD,3062872913.9838,1983613748.00089
Angola,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,..,..
Angola,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.953635233056225,..
Angola,"Armed forces personnel, total",MS.MIL.TOTL.P1,117000,..
Angola,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.42111281269538,1.80694058204604
Angola,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Angola,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,16.6711371453949,..
Angola,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..
Angola,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,34.2869372977153,29.6859016855854
Angola,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..
Angola,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..
Angola,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..,..
Angola,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,..,..
Angola,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..
Angola,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..
Angola,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..
Angola,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..
Angola,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..
Angola,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..
Angola,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..
Angola,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..
Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.11899995803833,7.01900005340576
Angola,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Angola,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..
Angola,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..
Angola,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..
Angola,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.379,60.782
Angola,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,57.677,58.064
Angola,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.252,63.666
Azerbaijan,Military expenditure (current USD),MS.MIL.XPND.CD,1528859592.29385,1672176470.58824
Azerbaijan,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,..,..
Azerbaijan,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.62896797727073,..
Azerbaijan,"Armed forces personnel, total",MS.MIL.TOTL.P1,82000,..
Azerbaijan,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.82145605829879,3.62421622055085
Azerbaijan,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Azerbaijan,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,27.9587305829867,21.402262398242
Azerbaijan,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,15.71702003479,..
Azerbaijan,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,43.6609723888105,41.1200899231724
Azerbaijan,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,98.7050704956055,98.6565628051758
Azerbaijan,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,99.0771102905273,96.3908996582031
Azerbaijan,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..,..
Azerbaijan,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,..,..
Azerbaijan,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,95.5160903930664,..
Azerbaijan,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,30.0558700561523,..
Azerbaijan,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,98.4994583129883,..
Azerbaijan,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,25.4286708831787,..
Azerbaijan,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,88.5012283325195,..
Azerbaijan,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..
Azerbaijan,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..
Azerbaijan,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..
Azerbaijan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4.90000009536743
Azerbaijan,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5,4.90000009536743
Azerbaijan,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..
Azerbaijan,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..
Azerbaijan,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..
Azerbaijan,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.693,72.864
Azerbaijan,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.128,70.345
Azerbaijan,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.215,75.336
Afghanistan,Military expenditure (current USD),MS.MIL.XPND.CD,191407113.244397,198074728.574408
Afghanistan,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,..,..
Afghanistan,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,3.24690925401305,..
Afghanistan,"Armed forces personnel, total",MS.MIL.TOTL.P1,323000,..
Afghanistan,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.945226799939516,1.00674585570556
Afghanistan,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Afghanistan,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,36.6526417130882,..
Afghanistan,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..
Afghanistan,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,294.234021395487,306.361182290885
Afghanistan,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..
Afghanistan,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..
Afghanistan,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,89.3640975952148,..
Afghanistan,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,88.640998840332,..
Afghanistan,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..
Afghanistan,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..
Afghanistan,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..
Afghanistan,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..
Afghanistan,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..
Afghanistan,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..
Afghanistan,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..
Afghanistan,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..
Afghanistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.1840000152588,11.0570001602173
Afghanistan,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.1836004257202,..
Afghanistan,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..
Afghanistan,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..
Afghanistan,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..
Afghanistan,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.13,64.486
Afghanistan,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.701,63.047
Afghanistan,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.656,66.026
Algeria,Military expenditure (current USD),MS.MIL.XPND.CD,10073364021.3013,9583724288.3703
Algeria,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,..,..
Algeria,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.63033714699029,..
Algeria,"Armed forces personnel, total",MS.MIL.TOTL.P1,317000,..
Algeria,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.01425332922594,5.51456473631646
Algeria,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
